header,description,platforms
MacroContentInfo,"Description: Provides information about a macro extracted when an Office file is written or opened ContextTimeStamp System time of event creation ContextProcessId UPID of the process originating this event ImageFileName Full path to an executable (PE) fileThe context of this field provides more information as to its meaning. For ProcessRollup2 events, this is the full path to the main executable for the created process. CommandLine Command line used to create this process Might be empty in some circumstances, visit http://msdn.microsoft.com/en- us/library/windows/desktop/ms682425(v=vs.85).aspx for more information. ScriptContent Script contents; non null-terminated wide-characters OriginalContentLength Size of ScriptContent (before truncation) in bytes ScriptModuleName The name of the VBA module or other module type that contains the script contents TargetFileName Multiple usesAgentOnline - Config file name. If using internal config, field is 0FileOperations - Entire path to the file including name and extension TargetSHA256HashData SHA256HashData for the target context, doesn’t imply a relationship with the ContextProcessId primary image itself MacroSHA256HashData SHA256 hash of an Office macro SHA256HashData SHA256 hash of a file; in most cases, the hash of the file that is referred to by the ImageFileName fieldValuesSTATIC_SHA256_DOPPELGANGING (0x56f3097c4d5bf4c7cffef168ee732e1c78f2ee62bc1c1ba61c219226bef619f8)STATIC_SHA256_SYSTEM (0x03312a19baa7ab137c09127c6feb58c05216a7880d3c9e6ae54a8bcda460f92a) MacroExtractorVersion Version of the macro extractor on the sensor KnownFileType Known file type constantValues (from type KnownFileType)UNKNOWN (0) - Unknown file typePE (1) - PE file (Windows executable)PDF (2) - PDF file (Adobe Acrobat / Reader)OLE (3) - OLE file (Office -le 2003; eg .doc)RTF (4) - RTF file (Rich Text Format; can be .doc)ZIP (5) - ZIP file, not detected as JAR or OOXMLJAR (6) - JAR file, Java archive (very simple detection)OOXML (7) - OOXML file (Office -ge 2007; eg .docx)DMP (8) - DMP file (Windows memory dump file)RAR (9) - RAR file, archiveSZIP (10) - 7zip file, archiveDWG (11) - DWG file, CAD relatedIDW (12) - IDW file, CAD relatedDXF (13) - DXF file, CAD relatedSLD (14) - SLDPRT/SLDDRW/SLDASM file, CAD relatedCAB (15) - CAB file (Microsoft Cabinet)MACHO (16) - MachO file (macOS executable)TAR (17) - TAR file, archiveXAR (18) - XAR file, archiveBZ2 (19) - BZip2 file, archiveSCRIPT (20) - Script file. Used only on macESE (21) - Extensible Storage Engine (ESE) Database File (EDB) format. Formerly JET databaseCLASS (22) - JavaClass File, Java byte codeELF (23) - ELF file (linux executable)GZIP (24) - Gzip file, archiveARC (27) - ARC archive fileARJ (28) - ARJ archive fileTIFF (29) - TIFF image fileGIF (30) - GIF image fileJPEG (31) - JPEG image filePNG (32) - PNG image fileBMP (33) - BMP image fileBLF (34) - BLF log fileMSDOCX (35) - MS Office Docx fileMSXLSX (36) - MS Office Xlsx fileMSPPTX (37) - MS Office Pptx fileMSVSDX (38) - MS Office Vsdx fileVMDK (39) - VMDK VMWare virtual machine fileVDI (40) - VDI VMWare virtual machine fileDMG (41) - Disk image fileMSI (42) - MSI fileEMAIL (43) - Email message fileLNK (44) - LNK fileEMAILARC (45) - Email archive fileRPM (46) - Linux RPM packageDEB (47) - Linux DEB packageWEBSCRIPT (48) - Web script (ASPX, PHP, etc.)PYTHON (49) - Python source fileBATCH (50) - Windows batch script fileHIVE (51) - Windows registry hive fileADEXPLORER (52) - ADExplorer snapshot fileCRX (53) - CRX Chrome Extension file ScriptContentBytes Script Contents Binary buffer ScriptContentCodePage Script contents binary buffer is reported to be encoded with this code page identifier ControlTemplateMatched Indicates if an office macro matched a OfficeFileMacroMLExclusions template instance ControlTemplateInstanceId The instance ID from a template OfficeFileMacroMLExclusions match; used for debugging ConfigBuild Config that caused this event CloudRequestId CloudRequestId is an identifier provided by the cloud whenrequesting action from the sensor; the sensor acknowledges the request with a CloudRequestReceived event. ConfigStateHash Murmur3-32 Hash of ConfigStateUpdate table csv from ConfigState; comparable between sensors only within a CID as channel versions are not unique or portable across CIDs. ConfigStateIndex Deprecated Non-cloudable static field that is SMEnhanced to contain the number 1; prior to SMEnhancer understanding immediate values needed to index into the appropriate RuntimeSystemTable entry SensorRequestId Identifier provided by the sensor when requesting action from the cloud The cloud echos back the SensorRequestId where appropriate Entitlements Bitfield of Cloud relevant Entitlements for the SKU that this sensor is currently licensed for; Sensor relevant entitlements are stored in SystemTable Tags. The value is set by the cloud and only has meaning to the cloud.The value is totally opaque to the sensor. There won’t be any #define or similar info relating to this field in sensor code. It is sent to the cloud by the sensor for efficiency, because the cloud can’t afford to look up sensor(aid) specific entitlements for every arriving event. EffectiveTransmissionClass Field representing the effective transmission class BoundingState Indicates the bounding decision for a cloudable eventValuesUNBOUNDED (0)BOUNDED (1) BoundingLimitCount Aggregate threshold for a given event type; thisfield is present on an event only after a bounding threshold has been exceeded. It signals an imminent end to transmission of this type of event.For events containing a UPID field, this threshold count is usually applied per-process. Transmission might restart under various conditions. Some events have their threshold count raised, if they are, or become, a Detect-Tree (TreeId field is set). Rate limited events might restart after the time interval indicated by BoundingLimitDuration expires. There are also SystemTags that might change bounding behavior for some event types. EventOrigin If set, this field should be non-zero, to indicate whether it is aBaseline (bit-0), Detect (bit-1), or Experiment (bit-7-34).bits 2-6/35-63 are spare.If this field doesn’t exist on an event, it is equivalent to having the value 1, indicating a pure Baseline event.An event can be both Baseline and Detect at the same time, if a process is part of a detect, but hasn’t exceeded the baseline limits for the event. It could also be Baseline and in one or more experiments simultaneously.ValuesBASELINE (0x1) - Sent while within ordinary baseline bounding limitsDETECT (0x2) - Sent while UPID was in a DetectCROWDSCORE (0x4) - Relevant to CrowdScore analysisTRIGGER (0x8) - OverwatchTrigger/CrowdscoreTrigger Incident eventsUNBOUNDED (0x10) - SysPolicy tag directed unboundingEXPERIMENT1 (0x100) - sent due to experiment-1EXPERIMENT2 (0x200) - sent due to experiment-2EXPERIMENT3 (0x400) - sent due to experiment-3EXPERIMENT4 (0x800) - sent due to experiment-4EXPERIMENT5 (0x1000) - sent due to experiment-5EXPERIMENT6 (0x2000) - sent due to experiment-6 BoundingLimitDuration The duration window in milliseconds during which an aggregate threshold applies for a given event type. Thisfield appears in conjunction with BoundingLimitCount.The duration represented by the value of this field goes intoeffect at a point determined by the respective bounding algorithm.Some 24h timers are tied to sensor load-time, other algorithms start timing from the first instance of the event. AnnotationData Arbitrary data attached to those events that are associated or interesting to an Integration(Annotation) Vendor Tactic Field representing the MITRE Tactic name or identifier and used to label events related to a MITRE classified activityCurrently this universal field isn’t used or referenced in the Sensor. It is only of use to the Cloud. Technique Field representing the MITRE Technique name or identifier and used to label events related to a MITRE classified activityCurrently this universal field isn’t used or referenced in the Sensor. It is only of use to the Cloud. FieldReference Universal field for representing field references within events",Windows
MacroDetectInfo,"Event description: Provides more context around the macro content that was detected. ContextProcessId UPID of the process generating this event FileAnalysisContext The context for the macro’s detection, such as File Open or File Written ValuesUNKNOWN (0)FILE_WRITE (1)FILE_OPEN (2) TargetFileName Multiple uses:AgentOnline - Config file name. If using internal config, field is 0 FileOperations - Entire path to the file including name and extension FileIdentifier UFID definition IsOnNetwork Set to true if the relevant file listed in the eventis on a network drive IsOnRemovableDisk Set to true if this file was located on a removable disk ParentImageFileName The ImageFileName of the parent process GrandparentImageFileName The ImageFileName of the parent-of-parent process CommandLine The command line used to create this process; may be empty in some circumstancesFor more information, visit http://msdn.microsoft.com/en- us/library/windows/desktop/ms682425(v=vs.85).aspx MacroSHA256HashData The SHA256 hash of an Office macro TargetSHA256HashData SHA256HashData for the target context; doesn’t imply relationship with the ContextProcessIdprimary image itself ImageFileName Full path to an executable (PE) file The context of this field provides more information as to its meaning. For ProcessRollup2 events, this is the full path to the main executable for the created process. SHA256HashData The SHA256 hash of a fileIn most cases, the hash of the file that is referred to by the ImageFileName fieldValuesSTATIC_SHA256_DOPPELGANGING (0x56f3097c4d5bf4c7cffef168ee732e1c78f2ee62bc1c1ba61c219226bef619f8)STATIC_SHA256_SYSTEM (0x03312a19baa7ab137c09127c6feb58c05216a7880d3c9e6ae54a8bcda460f92a) TemplateInstanceId The instance ID from a template match, used for debugging TemplateDisposition The requested disposition of a template hitValuesTEMPLATE_DISPOSITION_NOACTION (0)TEMPLATE_DISPOSITION_ANALYSIS (3)TEMPLATE_DISPOSITION_SENSOR_ONLY (4)TEMPLATE_DISPOSITION_INDICATOR (10)TEMPLATE_DISPOSITION_DETECT (20)TEMPLATE_DISPOSITION_OPERATION_BLOCK (25)TEMPLATE_DISPOSITION_PREVENT (30)TEMPLATE_DISPOSITION_PREVENT_KILLPARENT (60)TEMPLATE_DISPOSITION_PREVENT_KILLSOURCE (61) PatternId PatternIdList Comma separated list of pattern IDs ParentProcessPatternIdList Comma separated list of pattern IDs for parent process GrandparentProcessPatternIdList Comma separated list of pattern IDs for grandparent process ScriptModuleName Name of the VBA module or other module type that contains the script contents ScriptContent Script contents; non null-terminated wide-characters ConfigBuild Field present implicitly on every event to carry the config that caused this event CloudRequestId Identifier provided by the cloud when requesting action from the sensor The sensor acknowledges the request with a CloudRequestReceived event. ConfigStateHash Murmur3-32 Hash of ConfigStateUpdate table csv from ConfigState Comparable between sensors only within a CID; channel versions aren’t unique or portable across CIDs ConfigStateIndex Deprecated Non-cloudable static field that is SMEnhanced to contain the number 1; prior to SMEnhancer understanding immediate values needed to index into the appropriate RuntimeSystemTable entry SensorRequestId Identifier provided by the sensor when requesting action from the cloud The cloud echos back the SensorRequestId where appropriate Entitlements Bitfield of Cloud relevant Entitlements for the SKU that this sensor is currently licensed for; Sensor relevant entitlements are stored in SystemTable Tags. The value is set by the cloud and only has meaning to the cloud.The value is totally opaque to the sensor. There won’t be any #define or similar info relating to this field in sensor code. It is sent to the cloud by the sensor for efficiency, because the cloud can’t afford to look up sensor(aid) specific entitlements for every arriving event. EffectiveTransmissionClass Field representing the effective transmission class BoundingState Indicates the bounding decision for a cloudable eventValuesUNBOUNDED (0)BOUNDED (1) BoundingLimitCount Aggregate threshold for a given event type; thisfield is present on an event only after a bounding threshold has been exceeded. It signals an imminent end to transmission of this type of event.For events containing a UPID field, this threshold count is usually applied per-process. Transmission might restart under various conditions. Some events have their threshold count raised, if they are, or become, a Detect-Tree (TreeId field is set). Rate limited events might restart after the time interval indicated by BoundingLimitDuration expires. There are also SystemTags that might change bounding behavior for some event types. EventOrigin If set, this field should be non-zero, to indicate whether it is aBaseline (bit-0), Detect (bit-1), or Experiment (bit-7-34).bits 2-6/35-63 are spare.If this field doesn’t exist on an event, it is equivalent to having the value 1, indicating a pure Baseline event.An event can be both Baseline and Detect at the same time, if a process is part of a detect, but hasn’t exceeded the baseline limits for the event. It could also be Baseline and in one or more experiments simultaneously.ValuesBASELINE (0x1) - Sent while within ordinary baseline bounding limitsDETECT (0x2) - Sent while UPID was in a DetectCROWDSCORE (0x4) - Relevant to CrowdScore analysisTRIGGER (0x8) - OverwatchTrigger/CrowdscoreTrigger Incident eventsUNBOUNDED (0x10) - SysPolicy tag directed unboundingEXPERIMENT1 (0x100) - sent due to experiment-1EXPERIMENT2 (0x200) - sent due to experiment- 2EXPERIMENT3 (0x400) - sent due to experiment-3EXPERIMENT4 (0x800) - sent due to experiment-4EXPERIMENT5 (0x1000) - sent due to experiment-5EXPERIMENT6 (0x2000) - sent due to experiment-6 BoundingLimitDuration The duration window in milliseconds during which an aggregate threshold applies for a given event type. Thisfield appears in conjunction with BoundingLimitCount.The duration represented by the value of this field goes intoeffect at a point determined by the respective bounding algorithm.Some 24h timers are tied to sensor load-time, other algorithms start timing from the first instance of the event. AnnotationData Arbitrary data attached to those events that are associated or interesting to an Integration(Annotation) Vendor Tactic Field representing the MITRE Tactic name or identifier and used to label events related to a MITRE classified activityCurrently this universal field isn’t used or referenced in the Sensor. It is only of use to the Cloud. Technique Field representing the MITRE Technique name or identifier and used to label events related to a MITRE classified activityCurrently this universal field isn’t used or referenced in the Sensor. It is only of use to the Cloud. FieldReference Universal field for representing field references within events",Windows
MalPaths,Malicious DLL or executable image name conflicts found in different or unexpected folders.,Forensics
ManifestDownloadComplete,Sent by LFODownloadActor when a new configuration manifest has been downloaded. Platforms: Kubernetes Platforms: Vmcluster,"Windows, Linux, Falcon Container, macOS"
MbrOverwriteRawDetectInfo,,Windows
MemoryAdvise,,Linux
MemoryLocked,,Linux
MemoryMapped,Triggers when an executable memory region is mapped.,"Linux, Falcon Container"
MemoryProtectionChanged,,Linux
MemoryProtectionUpdated,Triggers if a new executable memory region is mapped which is writable or mapped from a file.,"Linux, Falcon Container"
MemoryScanEnabled,,Windows
MemoryScanErrorEvent,,Windows
MftBootSector,Windows Master File Table (MFT) Boot sector.,Forensics
MftRecord,Windows Master File Table (MFT) record.,Forensics
MobileAppIdentifiers,An event that describes details about a mobile application package.,Android
MobileAppsManifest,Delivers information about apps.,Android
MobileDetection,An event that's sent by the sensor when a sensor-level detection occurs.,"iOS, Android"
MobileOsForensicsReport,,"iOS, Android"
MobileOsIntegrityStatus,Describes the integrity of the mobile OS (eg. jailbroken/rooted),"Android, iOS"
MobilePowerStats,"Sent when power level in a mobile device changes, also contains duration when the sensor is in foreground/background during IntervalStartTime to IntervalEndTime.","Android, iOS"
ModifyServiceBinary,Indicates a Windows service's binary was changed.,Windows
ModuleBlockedEvent,This event is sent to inform cloud about the fact that given module (identified by hash) was blocked.,"Windows, Linux, Falcon Container, macOS"
ModuleBlockedEventWithPatternId,This event adds a potential reason for blocking (as a PatternId) to module blocking information.,"Windows, Linux, Falcon Container, macOS"
ModuleCertificateInfo2,,Windows
ModuleDetectInfo,This event identifies a scenario that would be a blocking prevention if more rigorous settings were active.,"Linux, Falcon Container, Windows, macOS"
ModuleDownloadComplete,Sent by LFODownloadActor when a new module has been downloaded as part of a configuration update.,"Windows, Linux, macOS"
ModuleLoadV3DetectInfo,Additional information for detections from the Module Load V3 template.,Windows
MotwWritten,,Windows
MountedVolume,,Windows
MpThreat,Microsoft protection threat.,Forensics
MpThreatAction,Report when a particular threat action type has occurred.,Forensics
MpThreatDetection,Microsoft protection threat detection.,Forensics
MpThreatDetectionWMI,,Forensics
MpThreatWMI,,Forensics
MSDocxFileWritten,,"macOS, Windows, Linux"
MsiFileWritten,,"Linux, Windows, macOS"
MsiTransactionExecuted,,Windows
MSPptxFileWritten,,"macOS, Windows, Linux"
MSVsdxFileWritten,,"macOS, Windows, Linux"
MSXlsxFileWritten,,"Windows, macOS, Linux"
NamedMutantHandleClosedTelemetry,An event that indicates that a process closed a handle to a known bad named mutex.,Windows
NamedPipe,Named pipe information.,Forensics
NamedPipeDetectInfo,Named pipe detect telemetry event,Windows
NamedSemaphoreHandleClosedTelemetry,An event that indicates that a process closed a handle to a known bad named semaphore.,Windows
NamespaceChanged,,"Linux, Falcon Container"
NeighborListIP4,"This event shows the IPv4 network addresses and MAC addresses of other devices on the host's network, gathered using ARP on the host. The first time a device sends this event to the CrowdStrike Cloud, its entire ARP table is sent. For later events, only the changes to the ARP table are sent. This event returns data as a MAC address, an IPv4 address, and a delimiter character (0 or 1). Each item is separated by a pipe character (|). If the delimiter character is a 0, the preceding MAC and IP addresses belong to a device. If the delimiter character is 1, the preceding IP and MAC addresses belong to the host's gateway.","macOS, Linux, Falcon Container, Forensics, Windows"
NeighborListIP6,"This event shows the MAC addresses and IPv6 network addresses of other devices on the host's network, gathered using ARP on the host. The first time a device sends this event to the CrowdStrike Cloud, its entire ARP table is sent. For later events, only the changes to the ARP table are sent. This event returns data as a MAC address, an IPv6 address, and a delimiter character (0 or 1). Each item is separated by a pipe character (|). If the delimiter character is a 0, the preceding MAC and IP addresses belong to a device. If the delimiter character is 1, the preceding IP and MAC addresses belong to the host's gateway. Platforms: Forensics","macOS, Linux, Falcon Container, Windows"
NetShareAdd,This event is generated when a network share is added or modified on a host.,Windows
NetShareDelete,This event is generated when a network share is removed from a host.,Windows
NetShareInfo,Shared resource information.,Forensics
NetShareSecurityModify,This event is generated when the security descriptor of a network share is changed.,Windows
NetworkCloseIP4,"An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. IPv4 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. Platforms: macOS An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 5 minutes using UDP. IPv4 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. Platforms: Linux, Falcon Container An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 2 minutes using UDP.IPv4 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state.","Windows, Android, Forensics"
NetworkCloseIP6,"An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. Platforms: Linux, Falcon Container An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 2 minutes using UDP. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. Platforms: Android An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 10 minutes using UDP. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. Platforms: macOS An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 5 minutes using UDP. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state.","Windows, Forensics"
NetworkConnectIP4,"This event is generated when an application attempts a remote connection. Platforms: Forensics, ChromeOS","Windows, iOS, Linux, Falcon Container, macOS, Android"
NetworkConnectIP4Blocked,This event is created whenever a NetworkConnectIP4 event is blocked. Platforms: iOS This event is created whenever a NetworkConnectIP4 event is blocked because of the IP or the domain/URL being accessed.,"Android, Windows, macOS"
NetworkConnectIP4DetectInfo,This event is sent whenever a connection to malicious IP4 address is detected.,"iOS, Android"
NetworkConnectIP6,"This event is created whenever an application using a connection-oriented protocol attempts a remote connection (e.g., via a call to the connect() function) or a connectionless protocol first attempts to transmit a message (e.g., via a call to the sendto() function). Platforms: Linux, Falcon Container This event is generated when an application attempts a remote connection. Platforms: Forensics, ChromeOS","Windows, iOS, Android, macOS"
NetworkConnectIP6Blocked,"This event is created whenever a NetworkConnectIP6 event is blocked because of the IP or the domain/URL being accessed. Platforms: Windows, macOS, Android This event is created whenever a NetworkConnectIP6 event is blocked.",iOS
NetworkConnectIP6DetectInfo,This event is sent whenever a connection to malicious IP6 address is detected.,"iOS, Android"
NetworkContainmentCompleted,"This event is sent by the sensor after processing a NetworkContainmentRequest event from the cloud. The Status field indicates the success or failure of the containment operation. Platforms: iOS, Android","macOS, Linux, Windows"
NetworkDnsSuffix,A network suffix name in the configured DNS suffix list.,Forensics
NetworkEndPointDataUsage,This event has total counts of sent/received octets/packets to/from the network-attached end point during active connection. The counting window is the life of the end point.,Forensics
NetworkHostsFileEntry,A host name entry in the network hosts file.,Forensics
NetworkIcmpDataIP4,,Linux
NetworkIcmpDataIP6,,Linux
NetworkInterfaceStatistics,,Forensics
NetworkLinkConfigGetAddress,,Linux
NetworkLinkConfigGetLink,,Linux
NetworkListenIP4,"This event is generated when an application establishes a socket in listening mode Platforms: Forensics, ChromeOS Platforms: Linux, Falcon Container This event is generated when an application establishes a socket in listening mode.","Windows, macOS, Android"
NetworkListenIP6,"This event is created whenever an application using a connection-oriented protocol establishes a socket in listening mode (e.g., via a call to the listen() function). Platforms: Forensics, ChromeOS","Windows, Android, Linux, Falcon Container, macOS"
NetworkModuleLoadAttempt,An event that indicates that a process whose primary image was not on a network attempted to load a module from that network.,Windows
NetworkOutboundPortScanDetectInfo,,Windows
NetworkReceiveAcceptIP4,"This event is generated when an application using a connection-oriented protocol attempts to accept a remote connection request (e.g., via a call to the accept() function) or a connectionless protocol attempts to process the first datagram received. Platforms: Forensics","Windows, Android, Linux, Falcon Container, macOS"
NetworkReceiveAcceptIP6,"This event is created whenever an application using a connection-oriented protocol attempts to accept a remote connection request (e.g., via a call to the accept() function) or a connectionless protocol attempts to process the first datagram received. Platforms: Forensics","Windows, Android, Linux, Falcon Container, macOS"
NetworkStatisticsIP4,,Forensics
NetworkStatisticsIP6,,Forensics
NetworkStatisticsTCP4,,Forensics
NetworkStatisticsTCP6,,Forensics
NetworkStatisticsUDP4,,Forensics
NetworkStatisticsUDP6,,Forensics
NetworkSummary,,Windows
NetworkUncontainmentCompleted,"Platforms: Linux, Windows, macOS This event is sent by the sensor after processing a NetworkUncontainmentRequest event from the cloud. The Status field indicates the success or failure of the uncontainment operation.","Android, iOS"
NewExecutableRenamed,This event is generated when an executable is renamed.,"Windows, macOS"
NewExecutableWritten,"This event is generated when an executable file extension is written, whether or not it is truly an executable file type. Any file that ends with a known executable file extension (e.g. .exe, .bat, .scr) will generate this event. The difference between a NewExecutableWritten event and PeFileWritten is that NewExecutableWritten looks for the extension of a file written, while PEFileWritten looks for the PE header in a file that was written.","Windows, Linux, macOS"
NewScriptWritten,"This event is generated when a new script is written (e.g. .js, .aspx, .bat, .ps1, .vbs, .lua). Platforms: Linux, Falcon Container, macOS The NewScriptWritten template can be triggered by file writes in following scenarios: 1. a file is created with a two character shebang (!#) as the first two bytes of the file with the script extension, 2. a file is created with a two character shebang (!#) as the first two bytes of the file without the extension, or 3. a file is created without the shebang and has a known script extension. These extensions are listed in the following table. Script Type Example Extensions Bash Shell .sh Script Type Example Extensions JavaScript .js, .jsp, .jspx, .jsw, .jsv, .jsv, .jspf Perl .pl Python .py Ruby .rb Powershell .psl Lua .lua Batch .bat Groovy .groovy AWK .awk PHP .php, .phpNs, .inc, .ctp, .pht, .phar Apache distributed config .htaccess Modulefile .module Config file .config ASP.NET .ashx, .asmx, .aspq, .asa, .axd, .aspx, .aspq REM .rem SOAP .soap Cretificate .cer WSS .wss Do .do Database Manager .dbm SWF .swf CGI .cgi Action .action Yaws .yaws HTML .html, .shtml, .vbhtml, .phtml, .cshtml Script Type Example Extensions ColdFusion .cfm, .cfc, .cfml",Windows
NtfsLinkCreatedDetectInfo,,Windows
NtfsQueryEaExploitAttempt,,Windows
NullPageProtectionModificationAttempt,An event that indicates that an attempt was made to modify the protection of the NULL page.,Windows
NullPageUnmapAttempt,An event that indicates that an attempt was made to unmap the NULL page.,Windows
ObjCRuntimeAltered,"An event that indicates an Obj-C method has been tampered with. MethodSignature indicates which Obj-C method has been tampered with. ImageFileName contains the path to the image containing the new, swizzled, implementation of the method. ExpectedImageFileName contains the path where it was expected. SuspectAddress contains the load address of ImageFileName. ExpectedAddress contains the load address of ExpectedImageFileName.",iOS
OciContainerComplianceInfo,,"Linux, Falcon Container"
OciContainerEngineInfo,An event that contains information about this container engine.,"Linux, Falcon Container"
OciContainerHeartbeat,An event that is sent by the sensor to indicate this container engine is still being used. This event is sent every 24 hours.,"Linux, Falcon Container"
OciContainerInfo,An event that contains information about this container on creation of the container.,"Linux, Falcon Container"
OciContainerPlumbingSummary,,Linux
OciContainerStarted,An event that is sent by the sensor to indicate a container has started when the container is created.,"Linux, Falcon Container"
OciContainerStopped,An event sent to indicate a container has stopped when the container is deleted.,"Linux, Falcon Container"
OciContainerTelemetry,An event that contains telemetry information on a container.,"Linux, Falcon Container"
OciImageHeartbeat,An event that is sent by the sensor to indicate this image is still being used.,"Linux, Falcon Container"
OciImageInfo,An event that contains information about this image used in a container.,"Linux, Falcon Container"
OdsActionStatus,Platforms: Windows,macOS
OdsCancelRequestReceived,Platforms: macOS,Windows
OdsMaliciousFileFound,Platforms: Windows,macOS
OdsProfileReceived,Platforms: Windows,macOS
OdsScanComplete,On-demand scan for files with name extensions and header magic values.,Forensics
OdsScheduleCanceled,Platforms: macOS,Windows
OdsScheduleCancelRequestReceived,Platforms: macOS,Windows
OdsScheduleRequestReceived,Platforms: macOS,Windows
OdsStarted,Platforms: Windows,macOS
OdsStartRequestReceived,Platforms: macOS,Windows
OdsStatus,Platforms: Windows,macOS
OleFileWritten,This event is generated when a file a Microsoft Office (Pre-Office 2007) file type is written to disk.,"Windows, macOS, Linux"
OoxmlFileWritten,This event is generated when a Microsoft Office (Post-Office 2007) file type is written to disk.,"Windows, macOS, Linux"
OpenDirectoryAttributeAdd,,macOS
OpenDirectoryAttributeRemove,,macOS
OpenDirectoryAttributeSet,,macOS
OpenDirectoryCreateUser,,macOS
OpenDirectoryDeleteUser,,macOS
OpenDirectoryGroupAdd,,macOS
OpenDirectoryGroupRemove,,macOS
OpenDirectoryGroupSet,,macOS
OpenDirectoryPasswordModification,,macOS
OsfmDownloadComplete,Sent by LFODownloadActor when new OSFM data is downloaded.,Windows
OsUpdateTimestamp,Operating system update timestamp.,Forensics
OsVersionInfo,"This event is generated during any one of the following scenarios: A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated This provides details about the operating system on which the sensor is running. Servers do not get rebooted often. Hence, you might not see some servers in this sample query. Platforms: Forensics, Vmcluster, Windows Legacy Platforms: Kubernetes","Windows, Linux, Falcon Container, Android, iOS, macOS"
PackageManagerDownloadComplete,,"Kubernetes, Vmcluster, Windows, macOS, Linux, Falcon Container"
PackedExecutableWritten,An event that indicates that a packed executable was written to disk. The packer type is indicated by the FileSubType field.,Windows
PacketDiversionConnectionsOverloadConfigurationResponse,,Windows
PacketFilterAttached,,Linux
PathUnexpectedlyReadable,"An event that indicates a system file or directory can be opened for reading. On a non-jailbroken system, this should not be possible.",iOS
PatternHandlingError,This event is emitted when an error occurs in processing a behavior.,"macOS, Linux, Falcon Container, Windows"
PcaAppLaunchEntry,An application launch entry in windows Program Compatibility Assistant (PCA) file PcaAppLaunchDic.txt.,Forensics
PcaGeneralDbEntry,An application launch entry in windows Program Compatibility Assistant (PCA) database PcaGeneralDb[0-9]+.txt.,Forensics
PdfFileWritten,This event is generated when a PDF file type (.pdf) is written to disk.,"Windows, Linux, macOS"
PeaFileWritten,,Windows
PeCodePageInfo,A code page that is used to decode code point values within a windows Portable Executable resource.,Forensics
PeFileWritten,"This event is generated when a Windows Portable Executable file type is written to disk. The difference between a NewExecutableWritten event and PeFileWritten is that NewExecutableWritten looks for the extension of a file written, while PEFileWritten looks for the PE header in a file that was written.","Windows, macOS, Linux"
PeFileWrittenDetectInfo,,Windows
PeHeaderInfo,Portable Executable header information from a Windows executable.,Forensics
PeHeaderOptionalInfo,Portable Executable optional header information from a Windows executable.,Forensics
PeLanguageId,A language on which a windows Portable Executable resource depends.,Forensics
PemFileWritten,,"macOS, Linux, Windows"
PeSectionInfo,Windows Portable Executable (PE) section information.,Forensics
PeVersionInfo,"An event that describes file version information from a Portable Executable file resource location, as seen in the file properties dialog on Windows. The data is in the form of a binary blob that requires further parsing.",Windows
PhpBase64Decode,,Linux
PhpEvalString,,Linux
PhpExecuteScript,,Linux
PngFileWritten,,"macOS, Linux, Windows"
PodInfo,Metadata associated with a Kubernetes pod.,"Linux, Falcon Container"
PodProductConfig,,"Linux, Falcon Container"
Pop3Command,,"Windows, Linux"
PrefetchFile,Prefetch or Layout file records 8 most recent execution times of a Windows application.,Forensics
PrivilegedProcessHandle,Indicates a process has opened a handle to a privileged process with special access rights.,Windows
PrivilegedProcessHandleFromUnsignedModule,This event contains information about a privileged process handle created from an unsigned module.,Windows
ProcessActivitySummary,A rollup event created when a process terminates. Includes statistical information about what a process did during its lifetime.,"Windows, macOS"
